  Brandenburg
"      Oder-Spree, Landkreis"
        Bad Saarow
        Beeskow
        Berkenbr?ck
        Briesen (Mark)
        Brieskow-Finkenheerd
        Diensdorf-Radlow
        Eisenh?ttenstadt
        Erkner
"        Friedland, Mark"
        F?rstenwalde/Spree
        Gosen-Neu Zittau
        Gro? Lindow
        Gr?nheide (Mark)
        Grunow-Dammendorf
        Jacobsdorf
        Langewahl
        Lawitz
        Madlitz-Wilmersdorf
        Mixdorf
        M?llrose
        Nei?em?nde
        Neuzelle
        Ragow-Merz
        Rauen
        Reichenwalde
        Rietz-Neuendorf
        Schlaubetal
        Sch?neiche bei Berlin
        Siehdichum
        Spreenhagen
"        Steinh?fel, b F?rstenwalde, Spree"
        Storkow (Mark)
        Tauche
"        Vogelsang, a d Oder"
        Wendisch Rietz
        Wiesenau
"        Woltersdorf, b Erkner"
        Ziltendorf
"      Ostprignitz-Ruppin, Landkreis"
        Breddin
        Dabergotz
"        Dreetz, b Neustadt, Dosse"
        Fehrbellin
        Heiligengrabe
        Herzberg (Mark)
        Kyritz
        Lindow (Mark)
        M?rkisch Linden
        Neuruppin
        Neustadt (Dosse)
        Rheinsberg
        R?thnick
        Sieversdorf-Hohenofen
        Storbeck-Frankendorf
        St?denitz-Sch?nermark
        Temnitzquell
        Temnitztal
        Vielitzsee
"        Walsleben, b Neuruppin"
        Wittstock/Dosse
        Wusterhausen/Dosse
        Zernitz-Lohm
"      Potsdam-Mittelmark, Landkreis"
"        Beelitz, Mark"
        Beetzsee
        Beetzseeheide
        Bad Belzig
        Bensdorf
        Borkheide
        Borkwalde
        Br?ck
        Buckautal
"        Golzow, b Brandenburg an der Havel"
        G?rzke
        Gr?ben
        Gro? Kreutz (Havel)
        Havelsee
        Kleinmachnow
        Kloster Lehnin
        Linthe
        Michendorf
        M?hlenflie?
        Niemegk
        Nuthetal
        P?wesin
        Planebruch
        Planetal
        Rabenstein/Fl?ming
        Rosenau
        Roskow
        Schwielowsee
        Seddiner See
        Stahnsdorf
        Teltow
        Treuenbrietzen
"        Wenzlow, b Brandenburg an der Havel"
        Werder (Havel)
        Wiesenburg/Mark
"        Wollin, b Brandenburg an der Havel"
        Wusterwitz
        Ziesar
"      Prignitz, Landkreis"
        Bad Wilsnack
"        Berge, b Perleberg"
        Breese
        Cumlosen
        Gerdshagen
        Gro? Pankow (Prignitz)
        G?litz-Reetz
        Gumtow
        Halenbeck-Rohlsdorf
"        Karst?dt, Prignitz"
        K?mmernitztal
        Lanz
        Legde/Quitz?bel
        Lenzen (Elbe)
        Lenzerwische
        Marienflie?
        Meyenburg
        Perleberg
        Pirow
        Plattenburg
        Pritzwalk
        Putlitz
        R?hst?dt
        Triglitz
        Weisen
        Wittenberge
"      Spree-Nei?e, Landkreis"
        Briesen
        Burg (Spreewald)
        Dissen-Striesow
        D?bern
        Drachhausen
        Drebkau
        Drehnow
        Felixsee
        Forst (Lausitz)
        Gro? Schacksdorf-Simmersdorf
        Guben
        Guhrow
        Heinersbr?ck
        Hornow-Wadelsdorf
        J?mlitz-Klein D?ben
        J?nschwalde
        Kolkwitz
        Nei?e-Malxetal
        Neuhausen/Spree
        Peitz
        Schenkend?bern
        Schmogrow-Fehrow
        Spremberg
        Tauer
        Teichland
        Tschernitz
        Turnow-Preilack
        Welzow
        Werben
        Wiesengrund
"      Teltow-Fl?ming, Landkreis"
        Am Mellensee
        Baruth/Mark
        Blankenfelde-Mahlow
        Dahme/Mark
        Dahmetal
        Gro?beeren
        Ihlow
        J?terbog
        Luckenwalde
        Ludwigsfelde
        Niederg?rsdorf
        Niederer Fl?ming
        Nuthe-Urstromtal
        Rangsdorf
        Trebbin
        Zossen
"      Uckermark, Landkreis"
        Angerm?nde
        Berkholz-Meyenburg
        Boitzenburger Land
        Br?ssow
        Carmzow-Wallmow
        Casekow
        Flieth-Stegelitz
        Gartz (Oder)
        Gerswalde
        G?ritz
        Gramzow (Uckermark)
"        Gr?now, b Prenzlau"
        Hohenselchow-Gro? Pinnow
        Lychen
        Mark Landin
        Mescherin
        Milmersdorf
"        Mittenwalde, b Templin"
        Nordwestuckermark
        Oberuckersee
"        Pinnow, b Angerm?nde"
        Prenzlau
        Randowtal
"        Schenkenberg, b Prenzlau"
"        Sch?neberg, b Angerm?nde"
"        Sch?nfeld, b Prenzlau"
        Schwedt/Oder
        Tantow
        Temmen-Ringenwalde
        Templin
        Uckerfelde
        Uckerland
        Passow
        Zichow
  Sachsen
"    Chemnitz, Regierungsbezirk"
"      Chemnitz, Kreisfreie Stadt"
"      Plauen, Kreisfreie Stadt"
"      Zwickau, Kreisfreie Stadt"
"      Annaberg, Landkreis"
"      Chemnitzer Land, Landkreis"
"      Freiberg, Landkreis"
      Vogtlandkreis
      Mittlerer Erzgebirgskreis
"      Mittweida, Landkreis"
"      Stollberg, Landkreis"
"      Aue-Schwarzenberg, Landkreis"
"      Zwickauer Land, Landkreis"
"    Dresden, Regierungsbezirk"
"      Dresden, Kreisfreie Stadt"
"      G?rlitz, Kreisfreie Stadt"
"      Hoyerswerda, Kreisfreie Stadt"
"      Bautzen, Landkreis"
"      Mei?en, Landkreis"
      Niederschlesischer Oberlausitzkreis
"      Riesa-Gro?enhain, Landkreis"
"      L?bau-Zittau, Landkreis"
"      S?chsische Schweiz, Landkreis"
      Wei?eritzkreis
"      Kamenz, Landkreis"
"    Leipzig, Regierungsbezirk"
"      Leipzig, Kreisfreie Stadt"
"      Delitzsch, Landkreis"
"      D?beln, Landkreis"
"      Leipziger Land, Landkreis"
      Muldentalkreis
"      Torgau-Oschatz, Landkreis"
"    Chemnitz, NUTS 2-Region"
"      Chemnitz, Stadt"
      Erzgebirgskreis
        Amtsberg
"        Annaberg-Buchholz, Stadt"
"        Aue, Stadt"
        Auerbach
        Bad Schlema
        B?renstein
        Bernsbach
        Bockau
        B?rnichen/Erzgeb.
        Borstendorf
        Breitenbrunn/Erzgeb.
        Burkhardtsdorf
        Crottendorf
        Deutschneudorf
        Drebach
"        Ehrenfriedersdorf, Stadt"
"        Eibenstock, Stadt"
"        Elterlein, Stadt"
        Erlbach-Kirchberg
        Gelenau/Erzgeb.
"        Geyer, Stadt"
        Gornau/Erzgeb.
        Gornsdorf
        Gro?olbersdorf
        Gro?r?ckerswalde
"        Gr?nhain-Beierfeld, Stadt"
        Gr?nhainichen
        Heidersdorf
        Hohndorf
        Hormersdorf
        Jahnsdorf/Erzgeb.
"        Johanngeorgenstadt, Stadt"
"        J?hstadt, Stadt"
        K?nigswalde
"        Lauter/Sa., Stadt"
"        Lauter-Bernsbach, Stadt"
"        Lengefeld, Stadt"
"        L??nitz, Stadt"
"        Lugau/Erzgeb., Stadt"
"        Marienberg, Stadt"
        Mildenau
        Neukirchen/Erzgeb.
        Niederdorf
        Niederw?rschnitz
"        Oberwiesenthal, Kurort, Stadt"
"        Oelsnitz/Erzgeb., Stadt"
"        Olbernhau, Stadt"
        Pfaffroda
        Pobershau
        Pockau
"        Pockau-Lengefeld, Stadt"
        Raschau-Markersbach
"        Scheibenberg, Stadt"
"        Schlettau, Stadt"
"        Schneeberg, Stadt"
        Sch?nheide
"        Schwarzenberg/Erzgeb., Stadt"
        Sehmatal
"        Seiffen/Erzgeb., Kurort"
        Sosa
"        Stollberg/Erzgeb., Stadt"
        St?tzengr?n
        Tannenberg
"        Thalheim/Erzgeb., Stadt"
        Thermalbad Wiesenbad
"        Thum, Stadt"
        Venusberg
        Waldkirchen/Erzgeb.
"        Wolkenstein, Stadt"
"        Z?blitz, Stadt"
"        Zschopau, Stadt"
        Zschorlau
"        Zw?nitz, Stadt"
"      Mittelsachsen, Landkreis"
        Altmittweida
"        Augustusburg, Stadt"
        Bobritzsch
        Bobritzsch-Hilbersdorf
        Bockelwitz
"        Brand-Erbisdorf, Stadt"
"        Burgst?dt, Stadt"
        Clau?nitz
"        D?beln, Stadt"
        Dorfchemnitz
        Ebersbach
        Eppendorf
        Erlau
        Falkenau
"        Fl?ha, Stadt"
"        Frankenberg/Sa., Stadt"
        Frankenstein
"        Frauenstein, Stadt"
"        Freiberg, Stadt, Universit?tsstadt"
"        Geringswalde, Stadt"
        Gro?hartmannsdorf
"        Gro?schirma, Stadt"
        Gro?weitzschen
"        Hainichen, Stadt"
        Halsbr?cke
"        Hartha, Stadt"
        Hartmannsdorf
        Hilbersdorf
        K?nigsfeld
        K?nigshain-Wiederau
        Kriebstein
"        Leisnig, Stadt"
        Leubsdorf
        Lichtenau
        Lichtenberg/Erzgeb.
"        Lunzenau, Stadt"
"        Mittweida, Stadt, Hochschulstadt"
        Mochau
        M?hlau
        Mulda/Sa.
        Neuhausen/Erzgeb.
        Niederstriegis
        Niederwiesa
        Obersch?na
"        Oederan, Stadt"
        Ostrau
"        Penig, Stadt"
        Rechenberg-Bienenm?hle
        Reinsberg
"        Rochlitz, Stadt"
        Rossau
"        Ro?wein, Stadt"
"        Sayda, Stadt"
        Seelitz
        Striegistal
        Taura
"        Waldheim, Stadt"
        Wechselburg
        Wei?enborn/Erzgeb.
        Zettlitz
        Ziegra-Knobelsdorf
        Zschaitz-Ottewig
      Vogtlandkreis
"        Adorf/Vogtl., Stadt"
"        Auerbach/Vogtl., Stadt"
        Bad Brambach
"        Bad Elster, Stadt"
        Bergen
        B?senbrunn
        Burgstein
        Eichigt
        Ellefeld
"        Elsterberg, Stadt"
        Erlbach
"        Falkenstein/Vogtl., Stadt"
        Gr?nbach
        Hammerbr?cke
        Heinsdorfergrund
"        Klingenthal, Stadt"
"        Lengenfeld, Stadt"
        Leubnitz
        Limbach
"        Markneukirchen, Stadt"
        Mehltheuer
        Morgenr?the-Rautenkranz
        M?hlental
"        M?hltroff, Stadt"
        Muldenhammer
"        Mylau, Stadt"
"        Netzschkau, Stadt"
        Neuensalz
        Neumark
        Neustadt/Vogtl.
"        Oelsnitz/Vogtl., Stadt"
"        Pausa-M?hltroff, Stadt"
"        Plauen, Stadt"
        P?hl
"        Reichenbach im Vogtland, Stadt"
        Reuth
"        Rodewisch, Stadt"
        Rosenbach/Vogtl.
"        Sch?neck/Vogtl., Stadt"
        Steinberg
        Syrau
        Tannenbergsthal
        Theuma
        Tirpersdorf
"        Treuen, Stadt"
        Triebel/Vogtl.
        Weischlitz
        Werda
        Zwota
"      Zwickau, Landkreis"
        Bernsdorf
        Callenberg
"        Crimmitschau, Stadt"
        Crinitzberg
        Dennheritz
        Fraureuth
        Gersdorf
"        Glauchau, Stadt"
"        Hartenstein, Stadt"
        Hartmannsdorf b. Kirchberg
        Hirschfeld
"        Hohenstein-Ernstthal, Stadt"
"        Kirchberg, Stadt"
        Langenbernsdorf
        Langenwei?bach
"        Lichtenstein/Sa., Stadt"
        Lichtentanne
"        Limbach-Oberfrohna, Stadt"
"        Meerane, Stadt"
        M?lsen
        Neukirchen/Plei?e
        Niederfrohna
"        Oberlungwitz, Stadt"
        Oberwiera
        Reinsdorf
        Remse
        Sch?nberg
        St. Egidien
"        Waldenburg, Stadt"
"        Werdau, Stadt"
"        Wildenfels, Stadt"
"        Wilkau-Ha?lau, Stadt"
"        Zwickau, Stadt"
"    Dresden, NUTS 2-Region"
"      Dresden, Stadt"
"      Bautzen, Landkreis"
        Arnsdorf
"        Bautzen, Stadt"
"        Bernsdorf, Stadt"
"        Bischofswerda, Stadt"
        Bretnig-Hauswalde
        Burkau
        Crostau
        Crostwitz
        Cunewalde
        Demitz-Thumitz
        Doberschau-Gau?ig
        Elsterheide
"        Elstra, Stadt"
        Frankenthal
        G?da
        Gro?dubrau
        Gro?harthau
        Gro?naundorf
        Gro?postwitz/O.L.
"        Gro?r?hrsdorf, Stadt"
        Guttau
        Haselbachtal
        Hochkirch
"        Hoyerswerda, Stadt"
"        Kamenz, Stadt"
        Kirschau
"        K?nigsbr?ck, Stadt"
        K?nigswartha
        Kubsch?tz
        Lau?nitz
"        Lauta, Stadt"
        Lichtenberg
        Lohsa
        Malschwitz
        Nebelsch?tz
        Neschwitz
        Neukirch
        Neukirch/Lausitz
        Obergurig
        Oberlichtenau
        Ohorn
        O?ling
        Ottendorf-Okrilla
        Panschwitz-Kuckau
"        Pulsnitz, Stadt"
        Puschwitz
        R?ckelwitz
"        Radeberg, Stadt"
        Radibor
        Ralbitz-Rosenthal
        Rammenau
"        Schirgiswalde, Stadt"
"        Schirgiswalde-Kirschau, Stadt"
        Schm?lln-Putzkau
        Sch?nteichen
        Schwepnitz
        Sohland a. d. Spree
        Spreetal
        Steina
        Steinigtwolmsdorf
        Wachau
"        Wei?enberg, Stadt"
        Wiednitz
"        Wilthen, Stadt"
"        Wittichenau, Stadt"
"      G?rlitz, Landkreis"
"        Bad Muskau, Stadt"
        Beiersdorf
"        Bernstadt a. d. Eigen, Stadt"
        Berthelsdorf
        Bertsdorf-H?rnitz
        Boxberg/O.L.
        D?rrhennersdorf
"        Ebersbach/Sa., Stadt"
"        Ebersbach-Neugersdorf, Stadt"
        Eibau
        Gablenz
"        G?rlitz, Stadt"
        Gro? D?ben
        Gro?hennersdorf
        Gro?sch?nau
        Gro?schweidnitz
        H?hnichen
        Hainewalde
"        Herrnhut, Stadt"
        Hohendubrau
        Horka
"        Jonsdorf, Kurort"
        Klitten
        Kodersdorf
        K?nigshain
        Kottmar
        Krauschwitz i.d. O.L.
        Kreba-Neudorf
        Lawalde
        Leutersdorf
"        L?bau, Stadt"
        Markersdorf
        Mittelherwigsdorf
        M?cka
        Nei?eaue
"        Neugersdorf, Stadt"
"        Neusalza-Spremberg, Stadt"
        Niedercunnersdorf
"        Niesky, Stadt"
        Obercunnersdorf
        Oderwitz
        Olbersdorf
        Oppach
"        Ostritz, Stadt"
        Oybin
        Quitzdorf am See
"        Reichenbach/O.L., Stadt"
        Rietschen
        Rosenbach
"        Rothenburg/O.L., Stadt"
        Schleife
        Sch?nau-Berzdorf a. d. Eigen
        Sch?nbach
        Sch?pstal
"        Seifhennersdorf, Stadt"
        Sohland a. Rotstein
        Strahwalde
        Trebendorf
        Vierkirchen
        Waldhufen
        Wei?kei?el
"        Wei?wasser/O.L., Stadt"
"        Zittau, Stadt"
"      Mei?en, Landkreis"
"        Coswig, Stadt"
        Diera-Zehren
        Ebersbach
        Glaubitz
"        Gr?ditz, Stadt"
"        Gro?enhain, Stadt"
        Hirschstein
        K?bsch?tztal
        Ketzerbachtal
        Klipphausen
        Lampertswalde
        Leuben-Schleinitz
"        Lommatzsch, Stadt"
"        Mei?en, Stadt"
        Moritzburg
        Nauwalde
        Niederau
"        Nossen, Stadt"
        N?nchritz
        Priestewitz
"        Radebeul, Stadt"
"        Radeburg, Stadt"
"        Riesa, Stadt"
        R?deraue
        Sch?nfeld
        Stauchitz
"        Strehla, Stadt"
        Tauscha
        Thiendorf
        Triebischtal
        Weinb?hla
        Wei?ig a. Rasch?tz
        Wildenhain
        W?lknitz
        Zabeltitz
        Zeithain
"      S?chsische Schweiz-Osterzgebirge, Landkreis"
"        Altenberg, Stadt"
"        Bad Gottleuba-Berggie?h?bel, Stadt"
"        Bad Schandau, Stadt"
        Bahretal
        Bannewitz
"        Dippoldiswalde, Stadt"
        Dohma
"        Dohna, Stadt"
        Dorfhain
        D?rrr?hrsdorf-Dittersbach
"        Freital, Stadt"
"        Geising, Stadt"
"        Glash?tte, Stadt"
        Gohrisch
        Hartmannsdorf-Reichenau
"        Heidenau, Stadt"
        Hermsdorf/Erzgeb.
        H?ckendorf
"        Hohnstein, Stadt"
        Kirnitzschtal
        Klingenberg
"        K?nigstein/S?chs. Schw., Stadt"
        Kreischa
"        Liebstadt, Stadt"
        Lohmen
        M?glitztal
"        Neustadt i. Sa., Stadt"
"        Pirna, Stadt"
        Porschdorf
        Pretzschendorf
"        Rabenau, Stadt"
"        Rathen, Kurort"
        Rathmannsdorf
        Reinhardtsdorf-Sch?na
        Rosenthal-Bielatal
        Schmiedeberg
"        Sebnitz, Stadt"
"        Stadt Wehlen, Stadt"
"        Stolpen, Stadt"
        Struppen
"        Tharandt, Stadt"
"        Wilsdruff, Stadt"
"    Leipzig, NUTS 2-Region"
"      Leipzig, Stadt"
"      Leipzig, Landkreis"
"        Bad Lausick, Stadt"
        Belgershain
        Bennewitz
"        B?hlen, Stadt"
"        Borna, Stadt"
        Borsdorf
"        Brandis, Stadt"
"        Colditz, Stadt"
        Deutzen
        Elstertrebnitz
        Espenhain
        Eulatal
        Falkenhain
"        Frohburg, Stadt"
"        Geithain, Stadt"
"        Grimma, Stadt"
"        Groitzsch, Stadt"
        Gro?bothen
        Gro?p?sna
        Hohburg
        Kitzen
"        Kitzscher, Stadt"
"        Kohren-Sahlis, Stadt"
        Lossatal
        Machern
"        Markkleeberg, Stadt"
"        Markranst?dt, Stadt"
"        Mutzschen, Stadt"
        Narsdorf
"        Naunhof, Stadt"
"        Nerchau, Stadt"
        Neukieritzsch
        Otterwisch
        Parthenstein
"        Pegau, Stadt"
"        Regis-Breitingen, Stadt"
"        R?tha, Stadt"
        Thallwitz
        Th?mmlitzwalde
"        Trebsen/Mulde, Stadt"
"        Wurzen, Stadt"
        Zschadra?
"        Zwenkau, Stadt"
"      Nordsachsen, Landkreis"
        Arzberg
"        Bad D?ben, Stadt"
        Beilrode
"        Belgern, Stadt"
"        Belgern-Schildau, Stadt"
        Cavertitz
"        Dahlen, Stadt"
"        Delitzsch, Stadt"
        Dobersch?tz
"        Dommitzsch, Stadt"
        Dreiheide
"        Eilenburg, Stadt"
        Elsnig
        Gro?treben-Zwethau
        Jesewitz
        Krostitz
        Lau?ig
        Liebsch?tzberg
        L?bnitz
        Mockrehna
"        M?geln, Stadt"
        Naundorf
        Neukyhna
"        Oschatz, Stadt"
        Pfl?ckuff
        Rackwitz
"        Schildau, Gneisenaustadt, Stadt"
"        Schkeuditz, Stadt"
        Sch?nw?lkau
        Sornzig-Abla?
"        Taucha, Stadt"
"        Torgau, Stadt"
        Trossin
        Wermsdorf
        Wiedemar
        Zinna
        Zschepplin
        Zwochau
  Th?ringen
"      Erfurt, krsfr. Stadt"
"      Gera, krsfr. Stadt"
"      Jena, krsfr. Stadt"
"      Suhl, krsfr. Stadt"
"      Weimar, krsfr. Stadt"
"      Eisenach, krsfr. Stadt"
"      Eichsfeld, Kreis"
        Arenshausen
        Asbach-Sickenberg
        Berlingerode
        Bernterode (bei Heilbad Heiligenstadt)
        Bernterode (bei Worbis)
        Birkenfelde
        Bischofferode
        Bockelnhagen
        Bodenrode-Westhausen
        Bornhagen
        Brehme
        Breitenworbis
        B?ttstedt
        Buhla
        Burgwalde
        Deuna
        Dieterode
        Dietzenrode/Vatterode
"        Dingelst?dt, Stadt"
        Ecklingerode
        Effelder
        Eichstruth
        Ferna
        Freienhagen
        Fretterode
        Geisleden
        Geismar
        Gerbershausen
        Gernrode
        Gerterode
        Glasehausen
        Gro?bartloff
        Gro?bodungen
        Hausen
        Haynrode
"        Heilbad Heiligenstadt, Stadt"
        Helmsdorf
        Heuthen
        Hohengandern
        Hohes Kreuz
        Holungen
        Hundeshagen
        J?tzenbach
        Kallmerode
        Kefferhausen
        Kella
        Kirchgandern
        Kirchworbis
        Kleinbartloff
        Kreuzebra
        Krombach
        K?llstedt
        Lenterode
        Lindewerra
        Lutter
        Mackenrode
        Marth
        Neustadt
        Niederorschel
        Pfaffschwende
        Reinholterode
        R?hrig
        Rohrberg
        Rustenfelde
        Schachtebich
        Sch?nhagen
        Schwobfeld
        Sickerode
        Silberhausen
        Silkerode
        Steinbach
        Steinheuterode
        Steinrode
        St?ckey
        Tastungen
        Thalwenden
        Uder
        Volkerode
        Vollenborn
        Wachstedt
        Wahlhausen
        Wehnde
        Wei?enborn-L?derode
        Wiesenfeld
        Wingerode
        W?stheuterode
        Zwinge
        Schimberg
        Teistungen
"        Leinefelde-Worbis, Stadt"
        Am Ohmberg
        Sonnenstein
"      Nordhausen, Kreis"
        Auleben
"        Bleicherode, Stadt"
        Buchholz
"        Ellrich, Stadt"
        Etzelsrode
        Friedrichsthal
        G?rsbach
        Gro?lohra
        Hainrode/Hainleite
        Hamma
        Harzungen
"        Heringen/Helme, Stadt"
        Herrmannsacker
        Ilfeld
        Kehmstedt
        Kleinbodungen
        Kleinfurra
        Kraja
        Lipprechterode
        Neustadt/Harz
        Niedergebra
        Niedersachswerfen
        Nohra
"        Nordhausen, Stadt"
        Rehungen
        Sollstedt
        Urbach
        Uthleben
        Windehausen
        Wipperdorf
        Wolkramshausen
        Hohenstein
        Werther
"        Heringen/Helme, Stadt"
        Harztor
      Wartburgkreis
        Andenhausen
"        Bad Liebenstein, Stadt"
"        Bad Salzungen, Stadt"
        Barchfeld-Immelborn
        Berka v. d. Hainich
"        Berka/Werra, Stadt"
        Bischofroda
        Brunnhartshausen
        Buttlar
"        Creuzburg, Stadt"
        Dankmarshausen
        Dermbach
        Diedorf/Rh?n
        Dippach
        Dorndorf
        Ebenshausen
        Empfertshausen
        Ettenhausen a.d. Suhl
        Fischbach/Rh?n
        Frankenroda
        Frauensee
"        Geisa, Stadt"
        Gerstengrund
        Gro?ensee
        Hallungen
        Ifta
        Immelborn
        Kaltenlengsfeld
"        Kaltennordheim, Stadt"
        Klings
        Krauthausen
        Lauterbach
        Leimbach
        Marksuhl
        Martinroda
        Merkers-Kieselbach
        Mihla
        Nazza
        Neidhartshausen
        Oechsen
"        Ruhla, Stadt"
        Schleid
        Schweina
        Seebach
"        Stadtlengsfeld, Stadt"
        Steinbach
        Tiefenort
"        Treffurt, Stadt"
        Unterbreizbach
        Urnshausen
"        Vacha, Stadt"
        V?lkershausen
        Weilar
        Wiesenthal
        W?lferb?tt
        Wolfsburg-Unkeroda
        Wutha-Farnroda
        Zella/Rh?n
        Moorgrund
        Gerstungen
        H?rselberg-Hainich
"        Bad Liebenstein, Stadt"
        Krayenberggemeinde
"        Kaltennordheim, Stadt"
      Unstrut-Hainich-Kreis
        Altengottern
"        Bad Langensalza, Stadt"
"        Bad Tennstedt, Stadt"
        Ballhausen
        Blankenburg
        Bothenheilingen
        Bruchstedt
        D?nwald
        Flarchheim
        Gro?engottern
        Gro?vargula
        Hauss?mmern
        Herbsleben
        Heroldishausen
        Heyerode
        Hildebrandshausen
        Horns?mmern
        Issersheilingen
        Kammerforst
        Kirchheilingen
        Kleinwelsbach
        Klettstedt
        K?rner
        Kutzleben
        Langula
        Lengenfeld unterm Stein
        Marolterode
        Mittels?mmern
"        M?hlhausen/Th?ringen, Stadt"
        M?lverstedt
        Neunheilingen
        Niederdorla
        Oberdorla
        Obermehler
        Oppershausen
        Rodeberg
"        Schlotheim, Stadt"
        Sch?nstedt
        Sundhausen
        Tottleben
        Urleben
        Weberstedt
        Weinbergen
        Katharinenberg
        Unstruttal
        Menteroda
        Anrode
        S?deichsfeld
        Vogtei
      Kyffh?userkreis
        Abtsbessingen
"        Artern/Unstrut, Stadt"
"        Bad Frankenhausen/Kyffh?user, Stadt"
        Badra
        Bellstedt
        Bendeleben
        Borxleben
        Bretleben
"        Clingen, Stadt"
        Donndorf
"        Ebeleben, Stadt"
        Etzleben
        Freienbessingen
        Gehofen
        G?llingen
        Gorsleben
"        Greu?en, Stadt"
        G?nserode
        Hachelbich
        Hauteroda
        Helbed?ndorf
"        Heldrungen, Stadt"
